 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Nov 13, 2014 21:00 ",1159.45 ,1162.55 ,1157.29 ,1162.13 ,+268.0 ,+0.23%
"Nov 13, 2014 17:00 ",1161.6 ,1167.93 ,1159.22 ,1159.47 ,-213.0 ,-0.18%
"Nov 13, 2014 13:00 ",1162.98 ,1166.58 ,1160.6 ,1161.41 ,-157.0 ,-0.14%
"Nov 13, 2014 09:00 ",1159.22 ,1164.19 ,1153.99 ,1162.98 ,+376.0 ,+0.32%
"Nov 13, 2014 05:00 ",1160.99 ,1168.07 ,1158.98 ,1159.32 ,-167.0 ,-0.14%
"Nov 13, 2014 04:00 ",1159.01 ,1159.01 ,1159.01 ,1159.01 ,+0.0 ,+0.00%
"Nov 13, 2014 01:00 ",1161.78 ,1162.28 ,1156.65 ,1161.03 ,-75.0 ,-0.06%
"Nov 12, 2014 21:00 ",1160.04 ,1162.94 ,1158.05 ,1162.34 ,+230.0 ,+0.20%
"Nov 12, 2014 17:00 ",1165.19 ,1167.08 ,1157.35 ,1160.12 ,-507.0 ,-0.44%
"Nov 12, 2014 13:00 ",1163.32 ,1170.13 ,1161.4 ,1165.26 ,+194.0 ,+0.17%
"Nov 12, 2014 09:00 ",1167.14 ,1168.67 ,1162.61 ,1163.4 ,-374.0 ,-0.32%
"Nov 12, 2014 05:00 ",1164.79 ,1169.07 ,1162.92 ,1167.14 ,+235.0 ,+0.20%
"Nov 12, 2014 01:00 ",1164.28 ,1166.45 ,1160.44 ,1164.88 ,+60.0 ,+0.05%
"Nov 11, 2014 21:00 ",1164.59 ,1173.22 ,1163.84 ,1163.84 ,-75.0 ,-0.06%
"Nov 11, 2014 17:00 ",1156.62 ,1166.54 ,1153.59 ,1164.6 ,+798.0 ,+0.69%
"Nov 11, 2014 13:00 ",1151.35 ,1158.41 ,1151.35 ,1156.59 ,+524.0 ,+0.45%
"Nov 11, 2014 09:00 ",1150.54 ,1153.88 ,1147.21 ,1151.35 ,+81.0 ,+0.07%
"Nov 11, 2014 05:00 ",1155.07 ,1155.3 ,1146.1 ,1150.54 ,-453.0 ,-0.39%
"Nov 11, 2014 01:00 ",1151.9 ,1157.29 ,1150.84 ,1155.1 ,+320.0 ,+0.28%
"Nov 10, 2014 21:00 ",1157.07 ,1157.83 ,1147.3 ,1151.37 ,-570.0 ,-0.50%
